date,ted
10/3/2011,0.23
11/3/2011,0.23
14/3/2011,0.22
15/3/2011,0.21
16/3/2011,0.21
17/3/2011,0.23
18/3/2011,0.24
21/3/2011,0.21
22/3/2011,0.21
23/3/2011,0.22
24/3/2011,0.22
25/3/2011,0.22
28/3/2011,0.2
29/3/2011,0.21
30/3/2011,0.2
31/3/2011,0.21
1/4/2011,0.23
4/4/2011,0.24
5/4/2011,0.22
6/4/2011,0.23
7/4/2011,0.25
8/4/2011,0.25
11/4/2011,0.23
12/4/2011,0.23
13/4/2011,0.22
14/4/2011,0.21
15/4/2011,0.2
18/4/2011,0.2
19/4/2011,0.21
20/4/2011,0.21
21/4/2011,0.21
26/4/2011,0.2
27/4/2011,0.21
28/4/2011,0.23
3/5/2011,0.24
4/5/2011,0.24
5/5/2011,0.25
6/5/2011,0.25
9/5/2011,0.24
10/5/2011,0.23
11/5/2011,0.23
12/5/2011,0.24
13/5/2011,0.23
16/5/2011,0.22
17/5/2011,0.22
18/5/2011,0.21
19/5/2011,0.21
20/5/2011,0.21
23/5/2011,0.2
24/5/2011,0.2
25/5/2011,0.19
26/5/2011,0.2
27/5/2011,0.2
31/5/2011,0.19
1/6/2011,0.2
2/6/2011,0.21
3/6/2011,0.21
6/6/2011,0.2
7/6/2011,0.2
8/6/2011,0.21
9/6/2011,0.2
10/6/2011,0.2
13/6/2011,0.2
14/6/2011,0.2
15/6/2011,0.2
16/6/2011,0.2
17/6/2011,0.21
20/6/2011,0.22
21/6/2011,0.22
22/6/2011,0.23
23/6/2011,0.24
24/6/2011,0.23
27/6/2011,0.23
28/6/2011,0.22
29/6/2011,0.23
30/6/2011,0.22
1/7/2011,0.23
5/7/2011,0.23
6/7/2011,0.24
7/7/2011,0.22
8/7/2011,0.22
11/7/2011,0.22
12/7/2011,0.22
13/7/2011,0.24
14/7/2011,0.24
15/7/2011,0.23
18/7/2011,0.23
19/7/2011,0.22
20/7/2011,0.23
21/7/2011,0.2
22/7/2011,0.2
25/7/2011,0.2
26/7/2011,0.18
27/7/2011,0.17
28/7/2011,0.18
29/7/2011,0.16
1/8/2011,0.16
2/8/2011,0.2
3/8/2011,0.25
4/8/2011,0.25
5/8/2011,0.26
8/8/2011,0.22
9/8/2011,0.25
10/8/2011,0.26
11/8/2011,0.26
12/8/2011,0.27
15/8/2011,0.27
16/8/2011,0.26
17/8/2011,0.29
18/8/2011,0.29
19/8/2011,0.28
22/8/2011,0.3
23/8/2011,0.3
24/8/2011,0.29
25/8/2011,0.31
26/8/2011,0.31
30/8/2011,0.32
31/8/2011,0.31
1/9/2011,0.31
2/9/2011,0.31
6/9/2011,0.32
7/9/2011,0.32
8/9/2011,0.32
9/9/2011,0.33
12/9/2011,0.33
13/9/2011,0.34
14/9/2011,0.34
15/9/2011,0.34
16/9/2011,0.34
19/9/2011,0.34
20/9/2011,0.35
21/9/2011,0.35
22/9/2011,0.36
23/9/2011,0.35
26/9/2011,0.34
27/9/2011,0.36
28/9/2011,0.35
29/9/2011,0.35
30/9/2011,0.35
3/10/2011,0.36
4/10/2011,0.37
5/10/2011,0.38
6/10/2011,0.38
7/10/2011,0.38
11/10/2011,0.38
12/10/2011,0.38
13/10/2011,0.38
14/10/2011,0.38
17/10/2011,0.37
18/10/2011,0.37
19/10/2011,0.38
20/10/2011,0.39
21/10/2011,0.4
24/10/2011,0.4
25/10/2011,0.41
26/10/2011,0.4
27/10/2011,0.41
28/10/2011,0.42
31/10/2011,0.42
1/11/2011,0.42
2/11/2011,0.42
3/11/2011,0.43
4/11/2011,0.43
7/11/2011,0.43
8/11/2011,0.43
9/11/2011,0.44
10/11/2011,0.44
14/11/2011,0.45
15/11/2011,0.46
16/11/2011,0.46
17/11/2011,0.46
18/11/2011,0.48
21/11/2011,0.48
22/11/2011,0.48
23/11/2011,0.49
25/11/2011,0.5
28/11/2011,0.49
29/11/2011,0.51
30/11/2011,0.52
1/12/2011,0.52
2/12/2011,0.51
5/12/2011,0.52
6/12/2011,0.53
7/12/2011,0.52
8/12/2011,0.53
9/12/2011,0.53
12/12/2011,0.53
13/12/2011,0.54
14/12/2011,0.55
15/12/2011,0.56
16/12/2011,0.56
19/12/2011,0.56
20/12/2011,0.56
21/12/2011,0.56
22/12/2011,0.56
23/12/2011,0.57
28/12/2011,0.57
29/12/2011,0.56
30/12/2011,0.56
3/1/2012,0.56
4/1/2012,0.56
5/1/2012,0.56
6/1/2012,0.56
9/1/2012,0.57
10/1/2012,0.56
11/1/2012,0.56
12/1/2012,0.54
13/1/2012,0.54
17/1/2012,0.53
18/1/2012,0.53
19/1/2012,0.51
20/1/2012,0.51
23/1/2012,0.52
24/1/2012,0.52
25/1/2012,0.52
26/1/2012,0.5
27/1/2012,0.49
30/1/2012,0.5
31/1/2012,0.48
1/2/2012,0.48
2/2/2012,0.45
3/2/2012,0.45
6/2/2012,0.44
7/2/2012,0.44
8/2/2012,0.42
9/2/2012,0.42
10/2/2012,0.42
13/2/2012,0.39
14/2/2012,0.38
